iter	Passed	Remaining
0	1	124
1	2	108
2	3	101
3	3	91
4	4	94
5	5	93
6	7	93
7	7	90
8	8	90
9	10	90
10	10	88
11	11	86
12	12	84
13	13	82
14	14	81
15	15	80
16	16	79
17	17	78
18	17	76
19	18	75
20	19	74
21	20	73
22	21	72
23	22	71
24	23	70
25	24	69
26	25	67
27	26	66
28	27	66
29	27	65
30	28	64
31	29	63
32	30	62
33	31	61
34	32	60
35	33	59
36	34	58
37	34	57
38	35	56
39	36	55
40	37	53
41	37	52
42	38	51
43	39	50
44	40	49
45	40	47
46	41	46
47	42	45
48	43	44
49	43	43
50	44	42
51	45	41
52	46	41
53	46	40
54	47	38
55	48	37
56	49	36
57	49	36
58	50	35
59	51	34
60	51	33
61	52	32
62	53	31
63	54	30
64	55	29
65	55	28
66	56	27
67	57	27
68	58	26
69	58	25
70	59	24
71	60	23
72	61	22
73	62	21
74	63	21
75	63	20
76	64	19
77	65	18
78	66	17
79	67	16
80	67	15
81	68	15
82	69	14
83	70	13
84	71	12
85	71	11
86	72	10
87	73	10
88	74	9
89	75	8
90	75	7
91	76	6
92	77	5
93	78	4
94	78	4
95	79	3
96	80	2
97	81	1
98	81	0
99	82	0
