iter	Passed	Remaining
0	89	88999
1	90	45146
2	91	30567
3	93	23195
4	94	18821
5	97	16178
6	99	14119
7	100	12510
8	102	11281
9	103	10286
10	105	9459
11	106	8758
12	107	8173
13	110	7804
14	112	7400
15	114	7025
16	115	6681
17	116	6381
18	118	6107
19	119	5851
20	120	5626
21	121	5421
22	122	5223
23	125	5114
24	127	4980
25	129	4832
26	130	4690
27	131	4572
28	133	4472
29	134	4360
30	135	4249
31	137	4156
32	140	4131
33	142	4060
34	145	4000
35	146	3917
36	147	3847
37	148	3770
38	150	3697
39	151	3624
40	152	3561
41	154	3518
42	156	3473
43	157	3420
44	158	3364
45	159	3313
46	161	3265
47	162	3214
48	163	3169
49	164	3123
50	165	3086
51	167	3051
52	169	3033
53	170	2993
54	172	2957
55	173	2919
56	174	2882
57	175	2848
58	176	2813
59	177	2781
60	178	2748
61	179	2717
62	181	2701
63	183	2679
64	184	2658
65	186	2632
66	187	2605
67	188	2579
68	189	2560
69	190	2536
70	192	2512
71	193	2488
72	194	2466
73	196	2463
74	198	2451
75	200	2431
76	201	2411
77	202	2391
78	203	2373
79	204	2356
80	205	2336
81	206	2316
82	207	2291
83	208	2273
84	210	2264
85	211	2251
86	213	2238
87	214	2221
88	215	2206
89	216	2190
90	217	2174
91	218	2159
92	219	2145
93	221	2130
94	222	2118
95	224	2111
96	225	2102
97	227	2093
98	228	2081
99	229	2069
100	231	2058
101	232	2045
102	233	2033
103	234	2022
104	235	2009
105	236	1998
106	238	1991
107	241	1991
108	242	1979
109	243	1969
110	244	1958
111	245	1949
112	247	1942
113	248	1931
114	249	1920
115	250	1909
116	251	1896
117	252	1887
118	254	1885
119	256	1878
120	257	1869
121	258	1858
122	259	1850
123	260	1841
124	262	1834
125	263	1826
126	264	1817
127	265	1809
128	266	1801
129	268	1795
130	269	1787
131	271	1782
132	272	1775
133	273	1767
134	274	1758
135	275	1749
136	276	1742
137	277	1734
138	278	1727
139	279	1719
140	281	1712
141	281	1702
142	283	1697
143	284	1691
144	285	1685
145	287	1680
146	288	1672
147	289	1665
148	290	1659
149	291	1652
150	292	1645
151	293	1638
152	294	1631
153	295	1625
154	297	1619
155	298	1615
156	299	1609
157	300	1602
158	301	1596
159	302	1589
160	303	1582
161	304	1575
162	305	1570
163	306	1564
164	308	1559
165	309	1553
166	310	1547
167	311	1542
168	312	1538
169	314	1533
170	315	1527
171	316	1521
172	317	1516
173	318	1511
174	319	1505
175	320	1500
176	321	1495
177	322	1489
178	323	1484
179	324	1479
180	325	1474
181	327	1471
182	328	1467
183	329	1462
184	330	1457
185	331	1452
186	332	1447
187	334	1442
188	335	1438
189	336	1433
190	337	1429
191	338	1424
192	339	1420
193	340	1415
194	342	1413
195	343	1408
196	344	1404
197	345	1401
198	346	1396
199	347	1391
200	348	1387
201	350	1382
202	351	1378
203	352	1373
204	353	1369
205	354	1365
206	355	1361
207	357	1361
208	358	1357
209	359	1354
210	361	1349
211	362	1345
212	363	1342
213	364	1337
214	365	1333
215	366	1329
216	367	1325
217	368	1321
218	369	1317
219	370	1313
220	371	1310
221	373	1308
222	374	1304
223	375	1300
224	376	1296
225	377	1293
226	379	1290
227	380	1287
228	381	1284
229	382	1280
230	383	1277
231	385	1274
232	387	1274
233	388	1271
234	389	1268
235	391	1266
236	392	1263
237	393	1260
238	394	1257
239	395	1253
240	397	1250
241	398	1247
242	399	1243
243	401	1243
244	402	1240
245	403	1237
246	404	1233
247	405	1230
248	407	1227
249	408	1224
250	409	1220
251	410	1217
252	411	1214
253	412	1211
254	413	1207
255	414	1205
256	416	1203
257	417	1201
258	419	1200
259	420	1197
260	421	1194
261	423	1192
262	425	1191
263	427	1190
264	428	1188
265	429	1185
266	431	1185
267	433	1183
268	434	1180
269	435	1177
270	436	1175
271	438	1173
272	439	1171
273	441	1169
274	442	1166
275	444	1165
276	446	1165
277	447	1163
278	449	1160
279	450	1158
280	452	1157
281	454	1156
282	455	1154
283	456	1151
284	458	1149
285	461	1150
286	462	1148
287	463	1146
288	465	1144
289	466	1142
290	467	1139
291	468	1137
292	470	1134
293	471	1131
294	472	1129
295	474	1129
296	476	1127
297	477	1124
298	478	1122
299	480	1120
300	481	1118
301	482	1115
302	483	1112
303	484	1109
304	485	1106
305	487	1105
306	489	1105
307	491	1103
308	492	1101
309	493	1098
310	495	1097
311	496	1094
312	497	1091
313	498	1089
314	499	1086
315	501	1085
316	503	1084
317	505	1083
318	506	1080
319	507	1078
320	509	1077
321	510	1074
322	511	1072
323	512	1069
324	513	1066
325	515	1066
326	517	1066
327	519	1063
328	520	1061
329	521	1059
330	523	1058
331	524	1056
332	525	1053
333	527	1050
334	528	1048
335	529	1047
336	531	1045
337	532	1043
338	534	1041
339	535	1038
340	536	1037
341	538	1035
342	539	1032
343	540	1030
344	541	1027
345	542	1025
346	544	1024
347	546	1023
348	547	1021
349	548	1019
350	550	1018
351	552	1016
352	553	1014
353	554	1012
354	555	1009
355	557	1007
356	558	1006
357	560	1005
358	562	1004
359	564	1003
360	565	1001
361	567	1000
362	569	998
363	571	999
364	573	998
365	576	999
366	579	998
367	581	998
368	582	996
369	584	994
370	586	994
371	588	993
372	591	994
